item_id,item_type,source_file,source_section,severity,execution_phase,required_before_day,required_before_metric,required_before_claim,requires_real_a2_output,requires_tts_backend,requires_week1_data,requires_day8_pass,blocks_day9,blocks_day10,blocks_day11,blocks_day12,blocks_claim,protocol_amendment_if_failed,detector_access_relevant,expected_evidence,evidence_path_pattern,status_initial,notes
F1,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,HIGH,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,P0/HIGH
F2,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,MEDIUM,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F3,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,MEDIUM,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F4,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,HIGH,Day11,Day11,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,P0/HIGH
F5,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,HIGH,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,P0/HIGH
F6,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,MEDIUM,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F7,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,MEDIUM,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F8,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,MEDIUM,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F9,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,MEDIUM,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F10,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,MEDIUM,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F11,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,LOW,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F12,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,LOW,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
