id,file,function,line_region,assumption,a2_failure_mode,severity,required_test,recommended_fix,protocol_amendment
F1,src/audiobookbench/temporal/day6c_pipeline.py,render_figures(Figure A series loop),700 + 626-630,clean and manipulated share one time axis (only count truncation handled),clean trajectory drawn on manipulated axis beyond attack; GT/trajectory misalignment (historical index-axis bug class),HIGH,test_a2_figure_time_axis,plot clean only before attack start with timeline-split marker,NO
F2,src/audiobookbench/temporal/day6b_pipeline.py + day6c_pipeline.py,_clean_id_of / inline split,90-91; 691,record ids embed _paircase_ and clean id = prefix,A2 ids parse to wrong/missing clean id -> KeyError or wrong pairing,MEDIUM-HIGH,test_a2_record_id_roundtrip,resolve clean id from sidecar field not name parsing,NO
F3,src/audiobookbench/temporal/day6c_pipeline.py + day6b_embed.py,load_c0_records / load_records loaders,74; 147,only Week-1/C0 manifests exist as record sources,A2 records cannot be ingested at all (implementation gap),MEDIUM,test_a2_loader_reads_sidecar,generalize loader to A2 sidecar manifest (additive),NO
F4,src/audiobookbench/temporal/day6c_pipeline.py,train_threshold + call sites,303 + eval loop,recomputed train-only threshold equals frozen Week-1 threshold (true only for Week-1 data),on A2 recomputation uses A2 train windows violating frozen thresholds: reuse_week1_only,HIGH,test_a2_threshold_reuse_frozen,load thresholds from results/day6b/metrics_by_split.csv; gate recomputation behind non-A2 flag,NO
F5,src/audiobookbench/temporal/day6b_scoring.py + day6b_pipeline.py,b3_scores shape guard + B3_ORACLE call site,91; 341,paired clean/manipulated embeddings share the grid,A2 unequal lengths raise ValueError and abort the whole Week-1 pipeline run instead of skipping B3,HIGH,test_b3_forbidden_in_a2_primary + test_a2_b3_skipped,gate B3 behind frozen forbidden_baselines denylist before call,NO
F6,src/audiobookbench/temporal/day6c_pipeline.py,duration stratification + resolution audit,384; 466; 493; 500,every manifest row has Week-1 duration_tier,A2 rows lack tier -> KeyError; tier arithmetic meaningless for A2,MEDIUM,test_a2_tier_fields_absent_ok,make tier handling conditional; A2 reports duration-ratio diagnostics instead,NO
F7,src/audiobookbench/temporal/day6c_pipeline.py,speech_active_fractions fallback branch,159,records without Day-5 frames are exactly C0 controls,A2 records fall outside both branches -> empty fractions -> mask IndexError,MEDIUM,test_a2_mask_fractions_present,generalize fallback to any record without Day-5 frames using its own waveform,NO
F8,src/audiobookbench/temporal/day6b_pipeline.py,load_day5_log_energy + B4 spans,76,every scored record has frozen Day-5 frame features,B4_DIAGNOSTIC impossible for A2 (no Day-5 rows),MEDIUM,test_a2_b4_frames_recomputed,compute A2 frames with the frozen Day-5 rule on A2 waveforms,NO
F9,src/audiobookbench/temporal/day6c_pipeline.py,_num_samples_from_embeddings,helper,sample count recoverable from embedding count,estimate can drift up to one hop (0.25 s) vs true length,LOW-MEDIUM,test_a2_exact_lengths_from_sidecar,prefer sidecar final_synthetic_num_samples; keep derivation as fallback,NO
F10,src/audiobookbench/temporal/day6c_pipeline.py + day6b_pipeline.py,find()/_record_for_case,416; 674,variant registry = clean/a0/a1/c0a/c0b,A2 variant unresolvable -> silent drop-out of paired analyses,LOW-MEDIUM,test_a2_variant_lookup,extend variant registry; drive ids from sidecar,NO
F11,src/audiobookbench/temporal/day6c_pipeline.py,case metrics core_center,526,windows_by_record already on manipulated timeline,SAFE for A2 given F9,SAFE,covered by F9 test,no change beyond F9,NO
F12,src/audiobookbench/temporal/day6c_pipeline.py,mask alignment [:n_windows],mask block,mask truncated to embedding-derived window count,SAFE for A2 given F7,SAFE,covered by F7 test + existing alignment test,no change beyond F7,NO
F13,src/audiobookbench/temporal/day6c_pipeline.py,case_bootstrap_ci concatenation,bootstrap block,grouping concatenates unequal per-case arrays,SAFE (no equal-count assumption),SAFE,test_a2_case_grouping_unequal_counts,lock with test,NO
F14,(absent - required new control),pre-attack prefix null control,-,leakage audit item 8 requires B1 on pre-attack A2 windows vs clean baseline,control not implementable today,MEDIUM,test_a2_prefix_null_control,implement as Day-11 evaluation option (analysis code only),NO
F15,src/audiobookbench/temporal/day6b_scoring.py,project_ground_truth_speaker,projection block,duration-agnostic projection math,SAFE; gap is input source (F3) and new blend_in/out fields need an explicit projection decision,LOW,test_a2_blend_in_out_projection,record blend_in/out; keep full/core labels unchanged,NO
F16,src/audiobookbench/temporal/day6c_pipeline.py,tier ratio arithmetic .replace(s),500,tier strings parse to seconds,same as F6; S2/0.75s core-unmeasurable logic must not run for A2,covered by F6,covered by F6,no change beyond F6,NO
F17,src/audiobookbench/temporal/day6b_pipeline.py + day6c_pipeline.py,intra-record zip(windows,gt_rows),449; 526,both built together per record,SAFE (lengths coincide by construction),SAFE,covered by variable-length window tests,no change,NO
